edu,writes,article,don,apr
nasa,system,science,information,internet
space,program,long,nasa,sci
oil,service,come,engine,change
cars,don,small,driving,toyota
hst,edu,mission,gif,uci
power,large,point,another,place
insurance,geico,mail,blah,info
henry,edu,toronto,spencer,writes
etc,day,question,similar,earth
mustang,diesels,matter,camaro,differential
ford,engine,probe,nice,george
sky,light,rights,night,satellite
book,cost,part,remember,years
station,shuttle,launch,option,two
make,even,money,time,don
bill,oort,back,moon,ray
car,good,dealer,cars,speed
edu,writes,article,engines,eliot
car,clutch,shifter,engine,sho
